,objectid,iso3,adm2_name,adm2_altnm,adm2_id,adm1_name,adm1_id,adm0_name,adm0_id,mapclr,rb,disp_area,salb_id,source,source_id,source_date,lst_update,validity,ID,Gov_ID,Gov_PCode,Gov_NAM_En,Gov_NAM_Ar,Dis_ID,Dis_NAM_En,Dis_NAM_Ar,ADM0_PCode
297,3279,YEM,Salah,صاله,1043220,Ta'iz,903651,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1519,01/02/2019,05/03/2021,0,241,15,YE15,Taizz,تعز,1519,Al Qahirah,صالة,YE
298,3280,YEM,Sami',سامع,1043221,Ta'iz,903651,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1523,01/02/2019,05/03/2021,0,252,15,YE15,Taizz,تعز,1523,Sama,سامع,YE
299,3281,YEM,Sana'a City Outskirts - Hamdan,ضواحي الامانة همدان,1043222,Sana'a City,903648,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1319,01/02/2019,05/03/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,3282,YEM,Sana'a City Outskirts -Sanhan wa Bani Bahlul,ضواحي الامانة سنحان وبني بهلول,1043223,Sana'a City,903648,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1324,01/02/2019,05/03/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,3283,YEM,Sanhan wa Bani Bahlul,سنحان وبني بهلول,1043224,Sana'a,903647,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2305,01/02/2019,05/03/2021,0,120,23,YE23,Sana'a,صنعاء,2305,Sanhan,سنحان وبني بهلول,YE
302,3284,YEM,Saqin,ساقين,1043225,Sa'dah,903646,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2209,01/02/2019,05/03/2021,0,17,22,YE22,Sa'ada,صعدة,2209,Saqayn,ساقين,YE
303,3285,YEM,Sarar,سرار,1043226,Abyan,903630,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1207,01/02/2019,05/03/2021,0,237,12,YE12,Abyan,أبين,1207,Sarar,سرار,YE
304,3286,YEM,Sayhut,سيحوت,1043227,Al Maharah,903636,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2807,01/02/2019,05/03/2021,0,68,28,YE28,Al Maharah,المهرة,2807,Sayhut,سيحوت,YE
305,3287,YEM,Sayun,سيئون,1043228,Hadramawt,903640,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1910,01/02/2019,05/03/2021,0,42,19,YE19,Hadramaut,حضرموت,1910,Sayun,سيئون,YE
306,3288,YEM,Shada'a,شداء,1043229,Sa'dah,903646,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2206,01/02/2019,05/03/2021,0,18,22,YE22,Sa'ada,صعدة,2206,Shada'a,شداء,YE
307,3289,YEM,Shaharah,شهاره,1043230,Amran,903638,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2905,01/02/2019,05/03/2021,0,39,29,YE29,Amran,عمران,2905,Shaharah,شهاره,YE
308,3290,YEM,Shahan,شحن,1043231,Al Maharah,903636,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE2801,01/02/2019,05/03/2021,0,5,28,YE28,Al Maharah,المهرة,2801,Shahan,شحن,YE
309,3291,YEM,Shar'ab Ar Rawnah,شرعب الرونه,1043232,Ta'iz,903651,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1503,01/02/2019,05/03/2021,0,225,15,YE15,Taizz,تعز,1503,Shara'b As Salam,شرعب الرونة,YE
310,3292,YEM,Shar'ab As Salam,شرعب السلام,1043233,Ta'iz,903651,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1502,01/02/2019,05/03/2021,0,235,15,YE15,Taizz,تعز,1502,At Ta'iziyah,شرعب السلام,YE
311,3293,YEM,Sharas,شرس,1043234,Hajjah,903641,Yemen,269,YEM,RBC,no,NA,CSO (OCHA Yemen),YE1719,01/02/2019,05/03/2021,0,81,17,YE17,Hajjah,حجة,1719,Sharas,شرس,YE
